step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
253,0.0508,0.0488,0.0479,0.0889,0.0498,0.0488,
254,0.0508,0.0488,0.0479,0.0898,0.0498,0.0488,
255,0.0508,0.0488,0.0479,0.0898,0.0498,0.0488,
256,0.0508,0.0488,0.0488,0.0898,0.0498,0.0498,
257,0.0508,0.0508,0.0488,0.0898,0.0498,0.0498,
258,0.0518,0.0508,0.0488,0.0908,0.0498,0.0498,
259,0.0518,0.0508,0.0488,0.0908,0.0508,0.0498,
260,0.0518,0.0508,0.0488,0.0908,0.0508,0.0498,
261,0.0518,0.0508,0.0488,0.0928,0.0508,0.0498,
262,0.0518,0.0508,0.0508,0.0928,0.0508,0.0508,
263,0.0518,0.0518,0.0508,0.0928,0.0508,0.0508,
264,0.0527,0.0518,0.0508,0.0938,0.0508,0.0508,
265,0.0527,0.0518,0.0508,0.0938,0.0518,0.0508,
266,0.0527,0.0518,0.0508,0.0938,0.0518,0.0508,
267,0.0527,0.0518,0.0508,0.0938,0.0518,0.0508,
268,0.0527,0.0518,0.0518,0.0947,0.0518,0.0518,
269,0.0527,0.0527,0.0518,0.0947,0.0518,0.0518,
270,0.0537,0.0527,0.0518,0.0947,0.0518,0.0518,
271,0.0537,0.0527,0.0518,0.0957,0.0537,0.0518,
272,0.0537,0.0527,0.0518,0.0957,0.0537,0.0518,
273,0.0537,0.0527,0.0518,0.0957,0.0537,0.0518,
274,0.0537,0.0527,0.0527,0.0967,0.0537,0.0537,
275,0.0537,0.0537,0.0527,0.0967,0.0537,0.0537,
276,0.0557,0.0537,0.0527,0.0967,0.0537,0.0537,
277,0.0557,0.0537,0.0527,0.0967,0.0547,0.0537,
278,0.0557,0.0537,0.0527,0.0977,0.0547,0.0537,
279,0.0557,0.0537,0.0527,0.0977,0.0547,0.0537,
280,0.0557,0.0537,0.0537,0.0977,0.0547,0.0547,
281,0.0557,0.0547,0.0537,0.0996,0.0547,0.0547,
282,0.0566,0.0547,0.0537,0.0996,0.0547,0.0547,
283,0.0566,0.0547,0.0537,0.0996,0.0557,0.0547,
284,0.0566,0.0547,0.0537,0.1006,0.0557,0.0547,
285,0.0566,0.0547,0.0537,0.1006,0.0557,0.0547,
286,0.0566,0.0547,0.0547,0.1006,0.0557,0.0557,
287,0.0566,0.0557,0.0547,0.1016,0.0557,0.0557,
288,0.0576,0.0557,0.0547,0.1016,0.0557,0.0557,
289,0.0576,0.0557,0.0547,0.1016,0.0566,0.0557,
290,0.0576,0.0557,0.0547,0.1025,0.0566,0.0557,
291,0.0576,0.0557,0.0547,0.1025,0.0566,0.0557,
292,0.0576,0.0576,0.0566,0.1025,0.0566,0.0566,
293,0.0576,0.0576,0.0566,0.1025,0.0566,0.0566,
